0,2,147.5428,196.9924,314.0283,281.5115,12.3174,1.5005,1.6285,4.1865,-8.2863,2.1115,16.1333,1.5404,2.0149
0,2,380.9222,182.2917,445.5171,225.6982,9.7748,1.6983,1.7060,4.2326,-8.4777,2.1357,31.2826,1.5558,1.8204
0,2,491.1066,184.4088,514.7086,202.8769,4.7599,1.4751,1.5792,3.6608,-9.1645,2.4948,61.7983,1.5422,1.6895
0,2,486.4288,179.5974,527.5771,210.7626,2.9728,1.5088,1.6009,3.8044,-5.3582,1.8789,37.6556,1.5725,1.7138
0,2,99.2793,199.4822,209.6409,244.3769,1.7072,1.4808,1.6534,4.3063,-17.8780,2.6129,28.5085,1.5682,2.1283
0,2,835.6106,114.0159,1137.9105,312.2753,0.4846,2.3281,1.9599,5.1912,5.1851,1.6376,11.0734,-1.5629,-2.0008
0,2,459.7764,186.1911,492.2947,210.3766,-0.1128,1.4980,1.6085,3.8258,-9.0407,2.4356,48.7642,1.5375,1.7208
0,2,668.2476,161.9376,688.1602,178.4718,-0.4252,1.4785,1.5759,3.7578,6.2328,0.5027,66.4165,-1.5432,-1.6367
1,2,20.8841,199.0488,252.6024,309.4018,12.0176,1.5230,1.6190,4.1001,-8.2617,2.0718,13.0233,1.5316,2.0969
1,2,354.3876,180.8493,426.4887,230.4577,8.8054,1.7627,1.7075,4.1434,-8.5839,2.1011,28.4113,1.5364,1.8298
1,2,481.4379,183.8850,508.5037,203.1128,5.7506,1.4577,1.5930,3.8122,-9.3618,2.3861,58.7945,1.5728,1.7307
1,2,447.3931,185.1330,486.3908,211.3813,4.8550,1.5309,1.6213,3.9286,-9.0870,2.3465,45.9179,1.5942,1.7896
1,2,611.0566,179.8436,628.5033,195.9095,2.7035,1.4372,1.5547,3.3899,0.9202,2.1107,67.7657,-1.5318,-1.5453
1,2,487.8999,181.2769,526.9610,209.0053,0.5332,1.4543,1.6051,3.7737,-5.7988,1.9543,40.9000,1.5921,1.7329
1,2,672.1573,181.6657,697.5780,200.4317,-0.1113,1.4671,1.6256,4.0249,6.2032,2.2292,60.3406,-1.5917,-1.6942
